Thiết bị,Lượt nhấp,Lượt hiển thị,CTR,Vị trí
Máy tính,5,806,0.62%,39.21
Sơ đồ trang web dành cho điện thoại di động,1,98,1.02%,11.12
Máy tính bảng,0,2,0%,1
